"Species","Evaluated/Predicted Score","Method"
"Acanthurus_fowleri",1643.8999,"predicted"
"Acanthurus_gahhm",1501.869,"predicted"
"Acanthurus_grammoptilus",1706.4634,"predicted"
"Acanthurus_guttatus",1746.2756,"predicted"
"Acanthurus_leucocheilus",1572.432,"evaluated"
"Acanthurus_leucopareius",1474.1584,"predicted"
"Acanthurus_leucosternon",1870.82,"evaluated"
"Acanthurus_lineatus",1856.406,"predicted"
"Acanthurus_maculiceps",1665.1069,"predicted"
"Acanthurus_mata",1683.412,"evaluated"
"Acanthurus_nigricans",1690.6646,"predicted"
"Acanthurus_nigricauda",1488.4114,"predicted"
"Acanthurus_nigrofuscus",1698.8689,"predicted"
"Acanthurus_nigroris",1669.8153,"predicted"
"Acanthurus_nubilus",1585.227,"predicted"
"Acanthurus_olivaceus",1649.809,"evaluated"
"Acanthurus_pyroferus",1663.1829,"predicted"
"Acanthurus_reversus",1636.3562,"predicted"
"Acanthurus_sohal",1707.6387,"predicted"
"Acanthurus_tennentii",1662.25041852688,"evaluated"
"Acanthurus_thompsoni",1380.6481,"predicted"
"Acanthurus_triostegus",1601.775,"evaluated"
"Acanthurus_tristis",1557.0305,"predicted"
"Acanthurus_xanthopterus",1574.2198,"predicted"
"Achoerodus_gouldii",1569.495,"predicted"
"Achoerodus_viridis",1543.4443,"predicted"
"Aetapcus_maculatus",1451.7192,"predicted"
"Aethaloperca_rogaa",1593.8365,"predicted"
"Afurcagobius_tamarensis",1470.907,"predicted"
"Aioliops_brachypterus",1556.335,"predicted"
"Aioliops_novaeguineae",1342.2198,"predicted"
"Albula_glossodonta",1358.925,"predicted"
"Alectis_ciliaris",1442.8892,"predicted"
"Alloclinus_holderi",1453.751,"predicted"
"Allomycterus_pilatus",1555.634,"predicted"
"Alphestes_immaculatus",1579.6174,"predicted"
"Altrichthys_azurelineatus",1408.4741,"predicted"
"Altrichthys_curatus",1452.9917,"predicted"
"Aluterus_scriptus",1626.845,"predicted"
"Amanses_scopas",1478.1699,"predicted"
"Ambassis_jacksoniensis",1422.2524,"predicted"
"Amblycirrhitus_bimacula",1423.5913,"predicted"
"Amblycirrhitus_earnshawi",1377.2556,"predicted"
"Amblycirrhitus_pinos",1437.2551,"predicted"
"Amblyeleotris_fasciata",1415.0374,"predicted"
"Amblyeleotris_guttata",1555.3542,"predicted"
"Amblyeleotris_gymnocephala",1362.4192,"predicted"
"Amblyeleotris_japonica",1407.5381,"predicted"
"Amblyeleotris_periophthalma",1531.0299,"predicted"
"Amblyeleotris_steinitzi",1401.6833,"predicted"
"Amblyeleotris_sungami",1418.4294,"predicted"
"Amblyeleotris_wheeleri",1525.5891,"predicted"
"Amblyglyphidodon_aureus",1658.964,"evaluated"
"Amblyglyphidodon_batunai",1501.0615,"predicted"
"Amblyglyphidodon_curacao",1421.1189,"predicted"
"Amblyglyphidodon_flavilatus",1476.1208,"predicted"
"Amblyglyphidodon_indicus",1551.0205,"predicted"
"Amblyglyphidodon_leucogaster",1371.922,"evaluated"
"Amblyglyphidodon_melanopterus",1251.5933,"predicted"
"Amblyglyphidodon_orbicularis",1436.064,"predicted"
"Amblyglyphidodon_ternatensis",1609.588,"evaluated"
"Amblygobius_buanensis",1305.8823,"predicted"
"Amblygobius_bynoensis",1354.0999,"predicted"
"Amblygobius_decussatus",1524.8662,"predicted"
"Amblygobius_nocturnus",1247.483,"predicted"
"Amblygobius_phalaena",1691.2793,"predicted"
"Amblyrhynchotes_honckenii",1472.8374,"predicted"
"Ammodytes_tobianus",1360.5428,"predicted"
"Amphichaetodon_howensis",1739.6091,"predicted"
"Amphichthys_cryptocentrus",1340.2725,"predicted"
"Amphiprion_akallopisos",1567.5227,"predicted"
"Amphiprion_akindynos",1696.8529,"predicted"
"Amphiprion_allardi",1782.0454,"predicted"
"Amphiprion_bicinctus",1732.996,"predicted"
"Amphiprion_chrysopterus",1777.805,"evaluated"
"Amphiprion_clarkii",1681.9619,"predicted"
"Amphiprion_ephippium",1640.7789,"predicted"
"Amphiprion_frenatus",1671.1399,"predicted"
"Amphiprion_fuscocaudatus",1625.9434,"predicted"
"Amphiprion_latezonatus",1640.8962,"predicted"
"Amphiprion_leucokranos",1550.6599,"predicted"
"Amphiprion_mccullochi",1620.7347,"predicted"
"Amphiprion_melanopus",1720.1724,"predicted"
"Amphiprion_nigripes",1502.3772,"predicted"
"Amphiprion_ocellaris",1772.4963,"predicted"
"Amphiprion_percula",1784.001,"predicted"
"Amphiprion_perideraion",1602.5322,"predicted"
"Amphiprion_rubrocinctus",1670.3962,"predicted"
"Amphiprion_sandaracinos",1523.7744,"predicted"
"Anampses_caeruleopunctatus",1782.7754,"predicted"
"Anampses_cuvier",1726.1655,"predicted"
"Anampses_elegans",1664.5374,"predicted"
"Anampses_femininus",1765.7263,"predicted"
"Anampses_geographicus",1501.721,"predicted"
"Anampses_lennardi",1692.6946,"predicted"
"Anampses_lineatus",1701.7393,"predicted"
"Anampses_melanurus",1676.0802,"predicted"
"Anampses_meleagrides",1816.8586,"predicted"
"Anampses_neoguinaicus",1582.9731,"predicted"
"Anampses_twistii",1636.916,"predicted"
"Anarrhichthys_ocellatus",1502.2667,"predicted"
"Anisotremus_caesius",1291.7106,"predicted"
"Anisotremus_davidsonii",1243.1715,"predicted"
"Anisotremus_interruptus",1308.919,"predicted"
"Anisotremus_scapularis",1392.5708,"predicted"
"Anisotremus_surinamensis",1394.9846,"predicted"
"Anisotremus_taeniatus",1592.264,"predicted"
"Anisotremus_virginicus",1668.8308,"predicted"
"Anoplocapros_amygdaloides",1607.852,"predicted"
"Anoplocapros_inermis",1704.539,"predicted"
"Anoplocapros_lenticularis",1719.8877,"predicted"
"Anyperodon_leucogrammicus",1683.5243,"predicted"
"Aphareus_furca",1237.8254,"predicted"
"Aphareus_rutilans",1363.996,"predicted"
"Aploactisoma_milesii",1223.3833,"predicted"
"Aplodactylus_arctidens",1335.6675,"predicted"
"Aplodactylus_etheridgii",1585.9478,"predicted"
"Aplodactylus_lophodon",1468.2314,"predicted"
"Aplodactylus_westralis",1396.052,"predicted"
"Apogon_atradorsatus",1321.4491,"predicted"
"Apogon_atricaudus",1421.832,"predicted"
"Apogon_binotatus",1367.3833,"predicted"
"Apogon_dovii",1353.5747,"predicted"
"Apogon_imberbis",1446.489,"predicted"
"Apogon_lachneri",1506.0645,"predicted"
"Apogon_maculatus",1500.7833,"predicted"
"Apogon_pacificus",1451.4534,"predicted"
"Apogon_retrosella",1306.6857,"predicted"
"Apogon_townsendi",1508.273,"predicted"
"Apogonichthyoides_timorensis",1378.8826,"predicted"
"Apolemichthys_trimaculatus",1689.3772,"predicted"
"Aprion_virescens",1253.1028,"predicted"
"Aracana_aurita",1910.0171,"predicted"
"Aracana_ornata",1884.8356,"predicted"
"Archamia_bleekeri",1286.2029,"predicted"
"Arcos_poecilophthalmos",1455.696,"predicted"
"Arenigobius_frenatus",1306.2913,"predicted"
"Argyrosomus_hololepidotus",1196.4849,"predicted"
"Argyrosomus_japonicus",1248.8281,"predicted"
"Arothron_caeruleopunctatus",1518.1072,"predicted"
"Arothron_diadematus",1467.5018,"predicted"
"Arothron_hispidus",1603.2429,"predicted"
"Arothron_inconditus",1457.4598,"predicted"
"Arothron_manilensis",1493.8394,"predicted"
"Arothron_mappa",1658.875,"predicted"
"Arothron_meleagris",1530.2617,"predicted"
"Arothron_nigropunctatus",1565.5509,"predicted"
"Arothron_stellatus",1648.7227,"predicted"
"Arripis_georgianus",1236.7313,"predicted"
"Arripis_trutta",1236.8813,"predicted"
"Arripis_truttacea",1239.9374,"predicted"
"Arripis_xylabion",1292.174,"predicted"
"Artedius_harringtoni",1567.1345,"predicted"
"Aspasmogaster_tasmaniensis",1368.2395,"predicted"
"Aspidontus_dussumieri",1417.4016,"predicted"
"Aspidontus_taeniatus",1553.4252,"predicted"
"Assessor_flavissimus",1579.3508,"predicted"
"Assessor_macneilli",1696.2877,"predicted"
"Assessor_randalli",1690.9259,"predicted"
"Assiculus_punctatus",1566.009,"predicted"
"Asterropteryx_striata",1311.1807,"predicted"
"Atherina_hepsetus",1294.6553,"predicted"
"Atherina_presbyter",1250.5973,"predicted"
"Atherinomorus_vaigiensis",1249.5493,"predicted"
"Atractoscion_aequidens",1226.2297,"predicted"
"Atrosalarias_holomelas",1243.3303,"predicted"
"Atule_mate",1257.8054,"predicted"
"Atypichthys_latus",1567.704,"evaluated"
"Atypichthys_strigatus",1547.5784,"predicted"
"Aulacocephalus_temminckii",1694.1913,"predicted"
"Aulorhynchus_flavidus",1415.0645,"predicted"
"Austrolabrus_maculatus",1488.3267,"predicted"
"Axoclinus_cocoensis",1479.6897,"predicted"
"Axoclinus_lucillae",1495.8774,"predicted"
"Axoclinus_multicinctus",1432.6917,"predicted"
"Axoclinus_rubinoffi",1499.4036,"predicted"
"Azurina_eupalama",1420.1115,"predicted"
"Balistapus_undulatus",1889.7842,"predicted"
"Balistes_capriscus",1737.4951,"predicted"
"Balistes_polylepis",1635.8252,"predicted"
"Balistes_punctatus",1738.427,"evaluated"
"Balistes_vetula",1832.8486,"predicted"
"Balistoides_conspicillum",1748.8381,"predicted"
"Balistoides_viridescens",1693.6125,"predicted"
"Bathygobius_krefftii",1348.982,"predicted"
"Bathygobius_lineatus",1439.9437,"predicted"
"Bathystethus_cultratus",1240.8926,"predicted"
"Batrachoides_boulengeri",1296.4773,"predicted"
"Belone_belone",1195.3511,"predicted"
"Belonoperca_chabanaudi",1562.605,"evaluated"
"Blenniella_chrysospilos",1400.5007,"predicted"
"Bodianus_albotaeniatus",1705.8605,"predicted"
"Bodianus_anthioides",1610.002,"evaluated"
"Bodianus_axillaris",1578.839,"evaluated"
"Bodianus_bilunulatus",1597.6157,"predicted"
"Bodianus_diana",1565.5583,"predicted"
"Bodianus_dictynna",1533.2175,"predicted"
"Bodianus_diplotaenia",1583.2257,"predicted"
"Bodianus_eclancheri",1660.443,"predicted"
"Bodianus_frenchii",1559.4011,"predicted"
"Bodianus_loxozonus",1655.3383,"predicted"
"Bodianus_mesothorax",1547.391,"evaluated"
"Bodianus_perditio",1539.2476,"predicted"
"Bodianus_rufus",1567.8318,"predicted"
"Bodianus_scrofa",1639.544,"predicted"
"Bodianus_unimaculatus",1486.1376,"predicted"
"Bolbometopon_muricatum",1415.751,"evaluated"
"Boops_boops",1233.4546,"predicted"
"Boopsoidea_inornata",1275.9648,"predicted"
"Boreogadus_saida",1276.2048,"predicted"
"Bothragonus_occidentalis",1344.115,"predicted"
"Bovichtus_angustifrons",1393.6458,"predicted"
"Bovichtus_argentinus",1400.5613,"predicted"
"Brachaluteres_jacksonianus",1649.3042,"predicted"
"Brachionichthys_hirsutus",1726.2987,"predicted"
"Brachyistius_frenatus",1308.8068,"predicted"
"Bryaninops_amplus",1395.5923,"predicted"
"Bryaninops_erythrops",1414.77,"predicted"
"Bryaninops_natans",1364.7144,"predicted"
"Bryaninops_nexus",1354.5498,"predicted"
"Bryaninops_yongei",1442.0131,"predicted"
"Caesio_caerulaurea",1403.5723,"predicted"
"Caesio_cuning",1486.013,"predicted"
"Caesio_lunaris",1574.9952,"predicted"
"Caesio_striata",1421.1317,"predicted"
"Caesio_suevica",1411.4331,"predicted"
"Caesio_teres",1515.146,"predicted"
"Caesio_varilineata",1532.4631,"predicted"
"Caesio_xanthonota",1489.5193,"predicted"
"Caesioperca_lepidoptera",1318.8788,"predicted"
"Caesioperca_rasor",1368.4353,"predicted"
"Caesioscorpis_theagenes",1249.7104,"predicted"
"Caffrogobius_nudiceps",1380.1345,"predicted"
"Calamus_bajonado",1413.9731,"predicted"
"Calamus_brachysomus",1273.205,"evaluated"
"Calamus_calamus",1574.0273,"predicted"
"Calamus_pennatula",1309.722,"predicted"
"Calamus_taurinus",1301.7527,"predicted"
"Callanthias_australis",1594.5195,"predicted"
"Calliclinus_geniguttatus",1564.3116,"predicted"
"Callionymus_comptus",1327.7747,"predicted"
"Callionymus_lyra",1593.5134,"predicted"
"Calloplesiops_altivelis",1938.2141,"predicted"
"Calotomus_carolinus",1674.2485,"predicted"
"Calotomus_japonicus",1360.3329,"predicted"
"Calotomus_spinidens",1299.6167,"predicted"
"Calotomus_viridescens",1539.5908,"predicted"
"Cantherhines_dumerilii",1542.0797,"predicted"
"Cantherhines_fronticinctus",1528.022,"predicted"
"Cantherhines_longicaudus",1508.4138,"predicted"
"Cantherhines_macrocerus",1618.2827,"predicted"
"Cantherhines_pardalis",1530.6344,"predicted"
"Cantherhines_pullus",1592.1809,"predicted"
"Cantherhines_sandwichiensis",1402.3822,"predicted"
"Cantheschenia_grandisquamis",1522.4688,"predicted"
"Canthidermis_maculata",1472.666,"evaluated"
"Canthidermis_sufflamen",1436.7379,"predicted"
"Canthigaster_amboinensis",1710.5786,"predicted"
"Canthigaster_axiologus",1550.6805,"predicted"
"Canthigaster_bennetti",1502.7792,"predicted"
"Canthigaster_callisterna",1562.9116,"predicted"
"Canthigaster_capistrata",1546.2383,"predicted"
"Canthigaster_coronata",1544.3213,"predicted"
"Canthigaster_cyanetron",1324.5305,"predicted"
"Canthigaster_epilampra",1595.5781,"predicted"
"Canthigaster_figueiredoi",1486.5731,"predicted"
"Canthigaster_jactator",1689.8994,"predicted"
"Canthigaster_janthinoptera",1666.4861,"predicted"
"Canthigaster_marquesensis",1475.4287,"predicted"
"Canthigaster_papua",1698.722,"predicted"
"Canthigaster_punctatissima",1710.4929,"predicted"
"Canthigaster_rapaensis",1428.3264,"predicted"
"Canthigaster_rivulata",1667.9995,"predicted"
"Canthigaster_rostrata",1602.6941,"predicted"
"Canthigaster_sanctaehelenae",1555.9918,"predicted"
"Canthigaster_smithae",1574.2167,"predicted"
"Canthigaster_valentini",1623.2874,"predicted"
"Caprodon_longimanus",1598.4165,"predicted"
"Caracanthus_maculatus",1375.7443,"predicted"
"Caracanthus_typicus",1514.5449,"predicted"
"Caracanthus_unipinna",1299.9036,"predicted"
"Carangoides_bajad",1466.3275,"predicted"
"Carangoides_bartholomaei",1312.96,"predicted"
"Carangoides_chrysophrys",1331.7382,"predicted"
"Carangoides_ferdau",1305.2856,"predicted"
"Carangoides_fulvoguttatus",1295.729,"evaluated"
"Carangoides_gymnostethus",1275.9045,"predicted"
"Carangoides_orthogrammus",1257.0414,"predicted"
"Carangoides_plagiotaenia",1261.7755,"predicted"
"Caranx_caballus",1227.6882,"predicted"
"Caranx_caninus",1252.305,"predicted"
"Caranx_crysos",1221.9845,"predicted"
"Caranx_ignobilis",1343.6699,"predicted"
"Caranx_lugubris",1281.8093,"predicted"
"Caranx_melampygus",1346.31708758395,"evaluated"
"Caranx_papuensis",1246.1973,"predicted"
"Caranx_sexfasciatus",1288.0144,"predicted"
"Caulolatilus_princeps",1240.1827,"predicted"
"Centroberyx_affinis",1443.9198,"predicted"
"Centroberyx_gerrardi",1404.8313,"predicted"
"Centroberyx_lineatus",1482.9778,"predicted"
"Centrogenys_vaigiensis",1497.6108,"predicted"
"Centrolabrus_exoletus",1409.1624,"predicted"
"Centrolabrus_melanocercus",1481.5342,"predicted"
"Centropogon_australis",1439.4335,"predicted"
"Centropyge_acanthops",1715.0603,"predicted"
"Centropyge_argi",1420.1755,"predicted"
"Centropyge_bicolor",1710.7822,"predicted"
"Centropyge_bispinosa",1656.6648,"predicted"
"Centropyge_eibli",1642.0659,"predicted"
"Centropyge_ferrugata",1474.9409,"predicted"
"Centropyge_fisheri",1689.7834,"predicted"
"Centropyge_flavissima",1720.4524,"predicted"
"Centropyge_heraldi",1527.7812,"predicted"
"Centropyge_hotumatua",1795.9922,"predicted"
"Centropyge_joculator",1585.8121,"predicted"
"Centropyge_loriculus",1672.7839,"predicted"
"Centropyge_multispinis",1643.6027,"predicted"
"Centropyge_nox",1386.7064,"predicted"
"Centropyge_tibicen",1533.9727,"predicted"
"Cephalopholis_argus",1578.874,"predicted"
"Cephalopholis_boenak",1453.3904,"predicted"
"Cephalopholis_cruentata",1507.492,"evaluated"
"Cephalopholis_cyanostigma",1555.9832,"predicted"
"Cephalopholis_formosa",1762.4553,"predicted"
"Cephalopholis_fulva",1487.4796,"predicted"
"Cephalopholis_hemistiktos",1498.3323,"predicted"
"Cephalopholis_leopardus",1545.2638,"predicted"
"Cephalopholis_microprion",1481.9908,"predicted"
"Cephalopholis_miniata",1755.4753,"predicted"
"Cephalopholis_panamensis",1564.0522,"predicted"
"Cephalopholis_sexmaculata",1570.0137,"predicted"
"Cephalopholis_sonnerati",1697.117,"evaluated"
"Cephalopholis_spiloparaea",1336.764,"evaluated"
"Cephalopholis_urodeta",1512.2053,"predicted"
"Cetoscarus_bicolor",1664.9275,"predicted"
"Chaenopsis_schmitti",1469.2949,"predicted"
"Chaetodermis_penicilligerus",1712.0731,"predicted"
"Chaetodipterus_faber",1614.477,"predicted"
"Chaetodipterus_zonatus",1521.731,"evaluated"
"Chaetodon_adiergastos",1681.138,"evaluated"
"Chaetodon_andamanensis",1637.4099,"predicted"
"Chaetodon_argentatus",1647.0908,"predicted"
"Chaetodon_assarius",1574.7458,"predicted"
"Chaetodon_aureofasciatus",1728.8057,"predicted"
"Chaetodon_auriga",1716.7854,"predicted"
"Chaetodon_auripes",1722.1995,"predicted"
"Chaetodon_austriacus",1737.543,"evaluated"
"Chaetodon_baronessa",1763.4033,"predicted"
"Chaetodon_bennetti",1771.9229,"predicted"
"Chaetodon_capistratus",1735.5778,"predicted"
"Chaetodon_citrinellus",1659.8204,"predicted"
"Chaetodon_collare",1753.8171,"predicted"
"Chaetodon_decussatus",1605.9998,"predicted"
"Chaetodon_dolosus",1622.1289,"predicted"
"Chaetodon_ephippium",1768.1365,"predicted"
"Chaetodon_falcula",1692.4907,"predicted"
"Chaetodon_fasciatus",1857.483,"predicted"
"Chaetodon_flavirostris",1736.369,"evaluated"
"Chaetodon_guentheri",1678.8785,"predicted"
"Chaetodon_guttatissimus",1706.393,"predicted"
"Chaetodon_humeralis",1633.294,"predicted"
"Chaetodon_interruptus",1677.485,"predicted"
"Chaetodon_kleinii",1694.4478,"predicted"
"Chaetodon_lineolatus",1661.1298,"predicted"
"Chaetodon_litus",1645.3623,"predicted"
"Chaetodon_lunula",1881.2606,"predicted"
"Chaetodon_lunulatus",1799.5138,"predicted"
"Chaetodon_madagaskariensis",1688.8574,"predicted"
"Chaetodon_marleyi",1791.6772,"predicted"
"Chaetodon_melannotus",1756.1564,"predicted"
"Chaetodon_mertensii",1679.387,"predicted"
"Chaetodon_meyeri",1862.2549,"predicted"
"Chaetodon_miliaris",1661.714,"evaluated"
"Chaetodon_multicinctus",1618.663,"evaluated"
"Chaetodon_ocellatus",1668.8458,"predicted"
"Chaetodon_ocellicaudus",1841.553,"predicted"
"Chaetodon_octofasciatus",1698.6509,"predicted"
"Chaetodon_ornatissimus",1854.2651,"predicted"
"Chaetodon_oxycephalus",1600.3594,"predicted"
"Chaetodon_paucifasciatus",1754.3925,"predicted"
"Chaetodon_pelewensis",1770.4806,"predicted"
"Chaetodon_plebeius",1770.2444,"predicted"
"Chaetodon_punctatofasciatus",1728.087,"evaluated"
"Chaetodon_quadrimaculatus",1709.3064,"predicted"
"Chaetodon_rafflesii",1768.842,"evaluated"
"Chaetodon_rainfordi",1706.4524,"predicted"
"Chaetodon_reticulatus",1767.9915,"predicted"
"Chaetodon_sedentarius",1556.9873,"predicted"
"Chaetodon_semeion",1637.6244,"predicted"
"Chaetodon_semilarvatus",1779.7433,"predicted"
"Chaetodon_speculum",1672.1042,"predicted"
"Chaetodon_striatus",1765.4736,"predicted"
"Chaetodon_triangulum",1686.1178,"predicted"
"Chaetodon_trichrous",1604.5986,"predicted"
"Chaetodon_tricinctus",1773.0919,"predicted"
"Chaetodon_trifascialis",1671.0228,"predicted"
"Chaetodon_trifasciatus",1796.6799,"predicted"
"Chaetodon_ulietensis",1703.4718,"predicted"
"Chaetodon_unimaculatus",1625.7537,"predicted"
"Chaetodon_vagabundus",1695.0332,"predicted"
"Chaetodon_xanthocephalus",1696.7474,"predicted"
"Chaetodon_xanthurus",1715.8457,"predicted"
"Chaetodon_zanzibarensis",1702.4109,"predicted"
"Chaetodontoplus_conspicillatus",1731.0337,"predicted"
"Chaetodontoplus_duboulayi",1776.7236,"predicted"
"Chaetodontoplus_meredithi",1677.9272,"predicted"
"Chaetodontoplus_mesoleucus",1631.0168,"predicted"
"Chaetodontoplus_personifer",1656.415,"predicted"
"Chaetodontoplus_septentrionalis",1930.2488,"predicted"
"Chaetodontoplus_vanderloosi",1533.9482,"predicted"
"Champsocephalus_esox",1392.6189,"predicted"
"Chanos_chanos",1280.308,"evaluated"
"Cheilinus_abudjubbe",1568.2189,"predicted"
"Cheilinus_chlorourus",1456.8022,"predicted"
"Cheilinus_fasciatus",1575.7068,"predicted"
"Cheilinus_lunulatus",1498.5059,"predicted"
"Cheilinus_oxycephalus",1514.7137,"predicted"
"Cheilinus_trilobatus",1494.4083,"predicted"
"Cheilinus_undulatus",1590.1589,"predicted"
"Cheilio_inermis",1481.0056,"predicted"
"Cheilodactylus_ephippium",1507.282,"predicted"
"Cheilodactylus_fasciatus",1405.479,"predicted"
"Cheilodactylus_francisi",1524.0918,"predicted"
"Cheilodactylus_fuscus",1455.9607,"predicted"
"Cheilodactylus_gibbosus",1584.718,"evaluated"
"Cheilodactylus_nigripes",1543.6702,"predicted"
"Cheilodactylus_pixi",1431.4972,"predicted"
"Cheilodactylus_plessisi",1476.5201,"predicted"
"Cheilodactylus_rubrolabiatus",1579.3046,"predicted"
"Cheilodactylus_spectabilis",1589.1401,"predicted"
"Cheilodactylus_vestitus",1595.1548,"predicted"
"Cheilodactylus_zebra",1591.0557,"predicted"
"Cheilodactylus_zonatus",1536.7516,"predicted"
"Cheilodipterus_arabicus",1412.3525,"predicted"
"Cheilodipterus_artus",1391.5615,"predicted"
"Cheilodipterus_intermedius",1340.2144,"predicted"
"Cheilodipterus_isostigmus",1477.6123,"predicted"
"Cheilodipterus_lachneri",1355.42,"evaluated"
"Cheilodipterus_macrodon",1489.8638,"predicted"
"Cheilodipterus_nigrotaeniatus",1467.0958,"predicted"
"Cheilodipterus_parazonatus",1405.7073,"predicted"
"Cheilodipterus_quinquelineatus",1476.8079,"predicted"
"Cheiloprion_labiatus",1677.394,"evaluated"
"Chelidonichthys_capensis",1418.8435,"predicted"
"Chelmon_marginalis",1789.9014,"predicted"
"Chelmon_rostratus",1845.1283,"predicted"
"Chelmonops_curiosus",1709.9014,"predicted"
"Chelmonops_truncatus",1784.71,"predicted"
"Chelon_auratus",1238.3239,"predicted"
"Chelon_labrosus",1249.8647,"predicted"
"Chelon_ramada",1166.307,"predicted"
"Chelon_richardsonii",1305.5135,"predicted"
"Chelonodon_pleurospilus",1471.024,"predicted"
"Chilomycterus_antennatus",1513.525,"evaluated"
"Chilomycterus_reticulatus",1470.4744,"predicted"
"Chirodactylus_brachydactylus",1334.8536,"predicted"
"Chirolophis_ascanii",1306.2192,"predicted"
"Chironemus_maculosus",1471.2609,"predicted"
"Chironemus_marmoratus",1414.2512,"predicted"
"Chironemus_microlepis",1457.0002,"predicted"
"Chlorurus_atrilunula",1587.2574,"predicted"
"Chlorurus_bleekeri",1685.9778,"predicted"
"Chlorurus_bowersi",1817.583,"evaluated"
"Chlorurus_capistratoides",1616.0753,"predicted"
"Chlorurus_frontalis",1677.8386,"predicted"
"Chlorurus_gibbus",1713.339,"evaluated"
"Chlorurus_japanensis",1570.9104,"predicted"
"Chlorurus_microrhinos",1677.044,"evaluated"
"Chlorurus_rhakoura",1351.505,"evaluated"
"Chlorurus_sordidus",1750.5304,"predicted"
"Chlorurus_spilurus",1697.256,"predicted"
"Chlorurus_strongylocephalus",1648.4104,"predicted"
"Choerodon_anchorago",1500.608,"evaluated"
"Choerodon_azurio",1615.019,"predicted"
"Choerodon_cauteroma",1645.6299,"predicted"
"Choerodon_cephalotes",1544.4592,"predicted"
"Choerodon_cyanodus",1342.4523,"predicted"
"Choerodon_fasciatus",1706.669,"predicted"
"Choerodon_graphicus",1515.5522,"predicted"
"Choerodon_jordani",1494.7189,"predicted"
"Choerodon_monostigma",1354.4214,"predicted"
"Choerodon_rubescens",1335.7224,"predicted"
"Choerodon_schoenleinii",1671.9211,"predicted"
"Choerodon_vitta",1337.9247,"predicted"
"Chriolepis_dialepta",1440.769,"predicted"
"Chromis_abrupta",1385.793,"predicted"
"Chromis_acares",1451.294,"predicted"
"Chromis_agilis",1456.0469,"predicted"
"Chromis_alpha",1343.0466,"predicted"
"Chromis_alta",1668.2915,"predicted"
"Chromis_amboinensis",1430.2362,"predicted"
"Chromis_analis",1688.6995,"predicted"
"Chromis_atrilobata",1278.4672,"predicted"
"Chromis_atripectoralis",1553.55597624497,"evaluated"
"Chromis_atripes",1331.33,"predicted"
"Chromis_bami",1327.6318,"predicted"
"Chromis_caudalis",1358.6924,"predicted"
"Chromis_chromis",1551.8577,"predicted"
"Chromis_chrysura",1514.6302,"predicted"
"Chromis_cinerascens",1293.7856,"predicted"
"Chromis_crusma",1362.1174,"predicted"
"Chromis_cyanea",1654.2737,"predicted"
"Chromis_dimidiata",1565.9506,"predicted"
"Chromis_dispilus",1294.4196,"predicted"
"Chromis_elerae",1286.1785,"predicted"
"Chromis_flavaxilla",1301.354,"predicted"
"Chromis_flavipectoralis",1419.1655,"predicted"
"Chromis_flavomaculata",1325.4315,"predicted"
"Chromis_fumea",1465.311,"predicted"
